W23 finding — the rim read at the contour, per pixel, from the committed fixtures and the captures on hand (2026-09-08).
Columns: native = the committed fixture; rim004 / rim018 = W22 G0's fit captures at specularGain 0 and rimAlpha 0.04 / 0.18 (scratch); landed = the canonical web-captures at the 0.11.0 landing (rimAlpha 0.18, specularGain 0).
Rows are encoded luma (Rec.709 luma of the linearised pixels, re-encoded); y/x = 0 is the declared box's first row/column inside the shape.

== apple-macos-26.5-1x-light-standard dark-solid__rrect-md__rest box=(80,52)-(240,148)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  x= +1   0.1300   0.1176
  x= +2   0.1297   0.1176
  x= +3   0.1297   0.1176
  x= +4   0.1297   0.1176
  x= +5   0.1297   0.1176
  x= +6   0.1297   0.1176
  x= +7   0.1297   0.1176
  x= +8   0.1297   0.1176
  x= +9   0.1297   0.1176

== apple-macos-26.5-1x-dark-standard dark-solid__capsule-button__rest box=(100,78)-(220,122)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.1104   0.1104
  y= -3   0.1104   0.1104
  y= -2   0.1104   0.1104
  y= -1   0.1104   0.1104
  y= +0   0.1933   0.1104
  y= +1   0.1062   0.1104
  y= +2   0.1062   0.1104
  y= +3   0.1062   0.1104
  y= +4   0.1062   0.1104
  y= +5   0.1062   0.1104
  y= +6   0.1062   0.1104
  y= +7   0.1062   0.1104
  y= +8   0.1062   0.1104
  y= +9   0.1062   0.1104
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.1104   0.1104
  x= -3   0.1104   0.1104
  x= -2   0.1104   0.1104
  x= -1   0.1111   0.1104
  x= +0   0.1800   0.1104
  x= +1   0.1143   0.1104
  x= +2   0.1062   0.1104
  x= +3   0.1062   0.1104
  x= +4   0.1062   0.1104
  x= +5   0.1062   0.1104
  x= +6   0.1062   0.1104
  x= +7   0.1062   0.1104
  x= +8   0.1062   0.1104
  x= +9   0.1062   0.1104

== apple-macos-26.5-1x-dark-standard mid-dark-solid__capsule-button__rest box=(100,78)-(220,122)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.2667   0.2667
  y= -3   0.2667   0.2667
  y= -2   0.2667   0.2667
  y= -1   0.2667   0.2667
  y= +0   0.2902   0.2824
  y= +1   0.1882   0.1843
  y= +2   0.1843   0.1843
  y= +3   0.1843   0.1843
  y= +4   0.1843   0.1843
  y= +5   0.1843   0.1843
  y= +6   0.1843   0.1843
  y= +7   0.1843   0.1843
  y= +8   0.1843   0.1843
  y= +9   0.1843   0.1843
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.2667   0.2667
  x= -3   0.2667   0.2667
  x= -2   0.2667   0.2667
  x= -1   0.2673   0.2667
  x= +0   0.2991   0.2977
  x= +1   0.1984   0.2005
  x= +2   0.1850   0.1843
  x= +3   0.1843   0.1843
  x= +4   0.1843   0.1843
  x= +5   0.1843   0.1843
  x= +6   0.1843   0.1843
  x= +7   0.1843   0.1843
  x= +8   0.1843   0.1843
  x= +9   0.1843   0.1843

== apple-macos-26.5-1x-dark-standard impulse__capsule-button__rest box=(100,78)-(220,122)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.0000   0.0000
  y= -3   0.0000   0.0000
  y= -2   0.0000   0.0000
  y= -1   0.0000   0.0000
  y= +0   0.1766   0.0471
  y= +1   0.0745   0.0471
  y= +2   0.0745   0.0471
  y= +3   0.0745   0.0471
  y= +4   0.0745   0.0471
  y= +5   0.0745   0.0471
