tier,profile,scene,expectedEncoded,actualEncoded,deltaCodes,gated,withinCode
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__capsule-button__rest-tint-orange,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__rrect-lg__inactive,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__rrect-lg__rest,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__rrect-md__inactive,0.49999999999999994,0.4999999701976776,-0.000007599592194706961,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__rrect-md__rest,0.49999999999999994,0.4999999701976776,-0.000007599592194706961,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__rrect-ml__rest,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__rrect-sm__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-lc16__rrect-lg__rest,0.7000000000000001,0.6998937726020813,-0.027087986469285785,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-lc16__rrect-ml__rest,0.7000000000000001,0.6998936533927917,-0.027118384838121234,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-lc16__rrect-sm__rest,0.7,0.699893593788147,-0.02713358402251065,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__inactive,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__inactive-pressed,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,false,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__inactive-tint-blue,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__inactive-tint-orange,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__pressed,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,false,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__rest,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__rest-tint-blue,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__capsule-button__rest-tint-orange,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__glass-over-glass__inactive,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__glass-over-glass__rest,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-lg__inactive,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-lg__rest,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-md__inactive,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-md__inactive-pressed,0.4999999999999999,0.4999999403953552,-0.000015199184389413922,false,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-md__pressed,0.4999999999999999,0.4999999403953552,-0.000015199184389413922,false,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-md__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-sm__inactive,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__rrect-sm__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__toolbar-group__inactive,0.4999999999999999,0.4999999403953552,-0.000015199184389413922,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard__toolbar-group__rest,0.4999999999999999,0.4999999403953552,-0.000015199184389413922,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text-28__rrect-lg__rest,0.7081887894832936,0.7081887722015381,-0.000004406847645133105,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text-28__rrect-sm__rest,0.6159999999999999,0.6159999966621399,-8.511542970435215e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text-7__rrect-lg__rest,0.6817829103523825,0.6817829012870789,-0.000002311652422815058,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text-7__rrect-sm__rest,0.6229999999999999,0.622999906539917,-0.00002383232113822853,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text__capsule-button__inactive,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text__capsule-button__inactive-tint-orange,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text__capsule-button__rest,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text__capsule-button__rest-tint-orange,0.6026272577996714,0.6026270389556885,-0.000055805215648518924,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text__rrect-md__inactive,0.6060303514376996,0.6060301065444946,-0.00006244776725894408,true,true
webgpu,apple-macos-26.5-1x-light-standard,hc-text__rrect-md__rest,0.6060303514376996,0.6060301065444946,-0.00006244776725894408,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__capsule-button__inactive,0.0032840722495894904,0.0032840780913829803,0.0000014896573399293678,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__capsule-button__inactive-tint-orange,0.0032840722495894904,0.0032840780913829803,0.0000014896573399293678,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__capsule-button__rest,0.0032840722495894904,0.0032840780913829803,0.0000014896573399293678,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__capsule-button__rest-tint-orange,0.0032840722495894904,0.0032840780913829803,0.0000014896573399293678,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__rrect-lg__inactive,0.0054774511593938275,0.005477449856698513,-3.3218730518917716e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__rrect-lg__rest,0.0054774511593938275,0.005477449856698513,-3.3218730518917716e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__rrect-md__inactive,0.0031948881789137375,0.0031948897521942854,4.011865397247731e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__rrect-md__rest,0.0031948881789137375,0.0031948897521942854,4.011865397247731e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__rrect-ml__inactive,0.003422703936109526,0.003422702429816127,-3.8410481675507646e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__rrect-ml__rest,0.003422703936109526,0.003422702429816127,-3.8410481675507646e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,impulse__rrect-sm__rest,0.007999999999999998,0.00800001434981823,0.000003659203648967088,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__inactive,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__inactive-pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__inactive-tint-blue,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__inactive-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__inactive-tint-orange-half,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__pressed,0.46274873418332846,0.46103593707084656,-0.4367632636828847,false,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__rest,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__rest-tint-blue,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__rest-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__capsule-button__rest-tint-orange-half,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__glass-over-glass__inactive,0.4413855273463122,0.44131630659103394,-0.017651292595957657,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__glass-over-glass__rest,0.4413855273463122,0.44131630659103394,-0.017651292595957657,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__rrect-lg__inactive,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__rrect-lg__inactive-tint-orange,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__rrect-lg__rest,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-light-standard,photo__rrect-lg__rest-tint-orange,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
