== probe9-base / apple-macos-26.5-1x-light-standard   fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/probe9-base/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
dark-solid__rrect-sm__rest               calibration web     0.0117  0.0169  0.0158  0.0164  0.0148  0.0172  0.0148  0.0156  0.0158  0.0169  0.0158  0.0164  0.0148  0.0172  0.0148  0.0156  0.0158    1.16       E  0.863
dark-solid__rrect-md__rest               calibration native  0.4798  0.1888  0.0360  0.0366  0.0381  0.1671  0.1259  0.1274  0.1258  0.1892  0.0347  0.0370  0.0362  0.1675  0.1269  0.1222  0.1281    5.46       S  0.183
dark-solid__rrect-md__rest               calibration web     0.4955  0.2091  0.1355  0.0926  0.1355  0.1909  0.1355  0.0912  0.1344  0.2098  0.1416  0.0971  0.1350  0.1911  0.1355  0.0899  0.1355    2.33       S  0.429
dark-solid__rrect-lg__rest               calibration native  0.5022  0.1831  0.0348  0.0316  0.0354  0.1581  0.1036  0.1239  0.1064  0.1831  0.0351  0.0322  0.0356  0.1584  0.1061  0.1241  0.1027    5.80       S  0.172
dark-solid__rrect-lg__rest               calibration web     0.4946  0.2117  0.1066  0.1200  0.1084  0.1922  0.1088  0.1218  0.1121  0.2117  0.1121  0.1250  0.1097  0.1922  0.1110  0.1207  0.1070    1.99       S  0.504
mid-dark-solid__rrect-sm__rest           calibration native  0.4397  0.2140  0.0379  0.0357  0.0387  0.1907  0.1401  0.1198  0.1484  0.2136  0.0379  0.0357  0.0387  0.1909  0.1412  0.1198  0.1499    5.99       N  0.167
mid-dark-solid__rrect-sm__rest           calibration web     0.4564  0.2359  0.1225  0.0753  0.1156  0.2194  0.1156  0.0753  0.1211  0.2358  0.1211  0.0753  0.1156  0.2194  0.1156  0.0753  0.1225    3.14       N  0.319
mid-dark-solid__rrect-md__rest           calibration native  0.5584  0.1684  0.0368  0.0376  0.0405  0.1497  0.1144  0.1171  0.1131  0.1686  0.0355  0.0380  0.0382  0.1501  0.1152  0.1124  0.1159    4.76       S  0.210
mid-dark-solid__rrect-md__rest           calibration web     0.5746  0.1918  0.1231  0.0803  0.1231  0.1741  0.1231  0.0790  0.1221  0.1917  0.1289  0.0846  0.1227  0.1746  0.1231  0.0778  0.1231    2.47       N  0.405
mid-dark-solid__rrect-lg__rest           calibration native  0.5825  0.1630  0.0383  0.0375  0.0383  0.1415  0.0954  0.1144  0.0982  0.1629  0.0383  0.0383  0.0382  0.1417  0.0980  0.1152  0.0950    4.34       N  0.230
mid-dark-solid__rrect-lg__rest           calibration web     0.5742  0.1932  0.0947  0.1049  0.0962  0.1746  0.0965  0.1060  0.0991  0.1931  0.0991  0.1088  0.0973  0.1747  0.0985  0.1058  0.0950    2.04       N  0.490
photo__rrect-sm__rest                    calibration native  0.5411  0.1626  0.0431  0.0395  0.0425  0.1767  0.1480  0.1356  0.1519  0.1669  0.0410  0.0437  0.0431  0.1339  0.1030  0.0941  0.1150    4.48       E  0.223
photo__rrect-sm__rest                    calibration web     0.5889  0.1964  0.1009  0.0587  0.0876  0.1883  0.1082  0.0865  0.1139  0.1975  0.1006  0.0647  0.0993  0.1855  0.1008  0.0662  0.1086    3.36       S  0.297
photo__rrect-md__rest                    calibration native  0.6610  0.0959  0.0770  0.0918  0.0953  0.1311  0.1453  0.1532  0.1416  0.1074  0.0246  0.0307  0.0337  0.1003  0.0629  0.0678  0.0520    6.23      SE  0.160
photo__rrect-md__rest                    calibration web     0.6555  0.1587  0.1682  0.1409  0.1658  0.1917  0.1633  0.1375  0.1680  0.1703  0.1081  0.0703  0.1106  0.1506  0.1032  0.0587  0.0961    3.27       E  0.306
checkerboard-4__capsule-button__rest-tint-orange calibration native  0.3514  0.3387  0.4332  0.3046  0.3984  0.3296  0.2704  0.2918  0.2387  0.2757  0.3264  0.2477  0.3596  0.3207  0.3025  0.3483  0.2670    1.81     NNE  0.551
checkerboard-4__capsule-button__rest-tint-orange calibration web     0.3673  0.3152  0.4186  0.3554  0.3979  0.3260  0.2374  0.2754  0.2020  0.2553  0.3219  0.3019  0.3639  0.3155  0.2743  0.3298  0.2277    2.07     NNE  0.483
checkerboard-32__capsule-button__rest-tint-orange calibration native  0.3526  0.3315  0.5299  0.5132  0.4979  0.4521  0.1328  0.1366  0.1468  0.2829  0.4084  0.4254  0.4501  0.1384  0.1015  0.0905  0.1137    5.86     NNE  0.171
checkerboard-32__capsule-button__rest-tint-orange calibration web     0.3674  0.3171  0.5093  0.4982  0.4822  0.4403  0.0757  0.0899  0.0745  0.2516  0.3984  0.4149  0.4362  0.0943  0.0523  0.0859  0.0526    9.73     NNE  0.103
checkerboard-64__capsule-button__rest-tint-orange validation  native  0.3529  0.4064 -0.0079 -0.0397 -0.0142  0.0982  0.0928  0.0871  0.0932  0.3107 -0.0089 -0.0400 -0.0140  0.0974  0.0898  0.0879  0.0886     inf       N -0.098
checkerboard-64__capsule-button__rest-tint-orange validation  web     0.3758  0.4044  0.0451  0.0781  0.0433  0.0614  0.0462  0.0724  0.0465  0.3138  0.0465  0.0724  0.0462  0.0614  0.0433  0.0781  0.0451    9.34       N  0.107

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a22f98cf20d905337/packages/calibration/results/2026-09-09-w24-lit-edge/g0/ladder/probe9-base.json
