
## 2x-grid  (apple-macos-26.5-2x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=60         0.06625     —        —      0.9183   0.9076     —      0.9975
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=20         0.06590     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=100        0.06639     —        —      0.9183   0.9012     —      0.9975
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=200        0.06661     —        —      0.9183   0.8900     —      0.9975
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=300        0.06669     —        —      0.9183   0.8862     —      0.9975
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=40         0.06630     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=20         0.06598     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=60         0.06655     —        —      0.9179   0.9073     —      0.9975
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=100        0.06691     —        —      0.9135   0.8957     —      0.9975
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=200        0.06749     —        —      0.9064   0.8714     —      0.9975
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=300        0.06772     —        —      0.9036   0.8630     —      0.9975
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=40         0.06629     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=20         0.06658     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=60         0.06693     —        —      0.9175   0.9072     —      0.9975
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=100        0.06808     —        —      0.9059   0.8892     —      0.9975
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=40         0.06850     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=200        0.06926     —        —      0.8913   0.8525     —      0.9975
sizeScatterRampStart2x=0.65 sizeScatterRampReach2xPx=300        0.06962     —        —      0.8861   0.8399     —      0.9975
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=60         0.06995     —        —      0.9175   0.9067     —      0.9975
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=100        0.07159     —        —      0.8992   0.8835     —      0.9975
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=200        0.07329     —        —      0.8741   0.8340     —      0.9975
sizeScatterRampStart2x=0.75 sizeScatterRampReach2xPx=300        0.07376     —        —      0.8657   0.8171     —      0.9975

### ssimMean

point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —   0.9978   0.9836   0.9517   0.9158   0.9663   0.9981
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=20         0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=40         0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=60         0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=100        0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=200        0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=300        0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=20         0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=40         0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=60         0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=100        0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=200        0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=300        0.06613   0.9985   0.9855   0.9455   0.8998   0.9664   0.9981
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=20         0.06609   0.9985   0.9855   0.9455   0.8986   0.9664   0.9981
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=40         0.06617   0.9985   0.9855   0.9455   0.8976   0.9664   0.9981
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=60         0.06625   0.9985   0.9855   0.9455   0.8969   0.9664   0.9981
sizeScatterRampStart2x=0.55 sizeScatterRampReach2xPx=20         0.06590   0.9985   0.9855   0.9450   0.8970   0.9664   0.9981
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=100        0.06639   0.9985   0.9855   0.9455   0.8949   0.9664   0.9981
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=200        0.06661   0.9985   0.9855   0.9455   0.8920   0.9664   0.9981
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=300        0.06669   0.9985   0.9855   0.9455   0.8910   0.9664   0.9981
