== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-64__rrect-lg__rest          calibration native  0.6878  0.2256  0.2102  0.0125 -0.0155  0.1682  0.1673  0.1547  0.1815  0.2052  0.0772 -0.0129  0.0493  0.1823  0.1433  0.1709  0.2588     inf     NNW -0.060
checkerboard-lc16__rrect-sm__rest        calibration native  0.8014  0.1271  0.0936  0.0979  0.1035  0.1050  0.1484  0.1383  0.1362  0.1250  0.0865  0.0854  0.0785  0.1342  0.1184  0.1249  0.1341    1.89     ESE  0.529
checkerboard-lc16__capsule-button__rest  calibration native  0.8012  0.1236  0.0699 -0.0093  0.0514  0.0972  0.0936  0.1039  0.1041  0.1274  0.1299  0.1198  0.1341  0.1327  0.1465  0.1617  0.1363     inf      NW -0.057
checkerboard-lc16__rrect-md__rest        calibration native  0.7893  0.1301  0.0418  0.0229  0.0334  0.1302  0.1527  0.1625  0.1540  0.1276  0.0327  0.0195  0.0503  0.1192  0.1570  0.1630  0.1481    8.35      NW  0.120
checkerboard-lc16__rrect-ml__rest        calibration native  0.7991  0.1239  0.0823  0.1074  0.1069  0.1278  0.1412  0.1217  0.1355  0.1251  0.0689  0.0807  0.0555  0.1150  0.1092  0.1079  0.1240    2.54     ESE  0.393
checkerboard-lc16__rrect-lg__rest        calibration native  0.8091  0.1223  0.0771  0.0489  0.0667  0.1159  0.1179  0.1287  0.1139  0.1204  0.0818  0.0460  0.0764  0.1163  0.1273  0.1304  0.1241    2.83      NW  0.353
hc-text-7__rrect-sm__rest                calibration native  0.7546  0.1435  0.1484  0.1380  0.1495  0.1383  0.1756  0.1670  0.1780  0.1533  0.1087  0.1004  0.1060  0.1289  0.1457  0.1796  0.1627    1.79      NW  0.559
hc-text-7__rrect-md__rest                calibration native  0.7396  0.1736  0.1885  0.1847  0.1728  0.2005  0.2384  0.2194  0.2332  0.1641  0.0852  0.0767  0.0846  0.1355  0.1601  0.1660  0.1621    3.11     ESE  0.322
hc-text-7__rrect-lg__rest                calibration native  0.8102  0.1470  0.1541  0.1574  0.1758  0.1791  0.1707  0.1815  0.1843  0.1359  0.0810  0.0566  0.0864  0.1260  0.1369  0.1337  0.1432    3.26     SSE  0.307
hc-text-28__rrect-sm__rest               calibration native  0.6483  0.2434  0.2571  0.2373  0.2251  0.1286  0.2548  0.2668  0.2756  0.2738  0.2756  0.2668  0.2544  0.1439  0.2251  0.2484  0.2717    2.14     SSE  0.467
hc-text-28__rrect-md__rest               calibration native  0.6957  0.2429  0.2690  0.2690  0.2690  0.2266  0.2895  0.2959  0.2872  0.2361  0.2286  0.2292  0.2601  0.1966  0.2360  0.2347  0.2344    1.51      SE  0.664
hc-text-28__rrect-lg__rest               calibration native  0.7927  0.1584  0.2050  0.2047  0.2062  0.1942  0.1828  0.1970  0.2002  0.1495  0.1634  0.1269  0.1186  0.1432  0.1197  0.1559  0.1740    1.74     ENE  0.575
hc-text__rrect-sm__rest                  calibration native  0.7719  0.1244  0.1128  0.0850  0.0919  0.0969  0.1078  0.1078  0.1111  0.1699  0.1078  0.1078  0.1078  0.1003  0.0919  0.0918  0.1178    2.00       S  0.500
