== apple-macos-26.5-1x-light-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-lc16__rrect-md__rest        calibration native  0.7891  0.1123  0.0712  0.0650  0.0545  0.0966  0.1099  0.1226  0.1167  0.1082  0.0108  0.0263  0.0474  0.1025  0.1189  0.1120  0.0820   11.34      SE  0.088
checkerboard-lc16__rrect-md__rest        calibration web     0.8048  0.0463  0.0434 -0.0272 -0.0148  0.0486  0.0079  0.0529  0.0498  0.0375 -0.0583 -0.0852  0.0177  0.0385  0.0751  0.0480  0.0094     inf     WNW -1.134
checkerboard-lc16__rrect-ml__rest        calibration native  0.7993  0.1051  0.0675  0.0858  0.0827  0.1024  0.0927  0.0583  0.0762  0.1071  0.0761  0.0793  0.0791  0.0965  0.0551  0.0574  0.0726    1.94       S  0.515
checkerboard-lc16__rrect-ml__rest        calibration web     0.8008  0.0472  0.0199  0.0397  0.0287  0.0500  0.0426 -0.0440  0.0144  0.0404  0.0050  0.0651 -0.0457  0.0455 -0.0436 -0.0630  0.0035     inf      SW -0.967
checkerboard-lc16__rrect-lg__rest        calibration native  0.8095  0.1026  0.0644  0.0429  0.0373  0.0962  0.0629  0.0941  0.0573  0.1045  0.0643  0.0310  0.0623  0.0997  0.0852  0.0924  0.0746    3.37       S  0.297
checkerboard-lc16__rrect-lg__rest        calibration web     0.8003  0.0438  0.0118 -0.0280  0.0085  0.0415 -0.0631 -0.0259 -0.0614  0.0409  0.0510 -0.0068  0.0529  0.0356 -0.0046  0.0153  0.0100     inf     WSW -1.194
hc-text-7__rrect-sm__rest                calibration native  0.6710  0.2089  0.2144  0.1986  0.1902  0.1579  0.2004  0.1960  0.1935  0.1607  0.1453  0.1373  0.1426  0.1552  0.1274  0.2004  0.2144    1.68     NNW  0.594
hc-text-7__rrect-sm__rest                calibration web     0.7633  0.1514  0.1761  0.1827  0.1826  0.0868  0.1583  0.1557  0.1498  0.0603  0.0280  0.0505  0.0455  0.0659  0.0138  0.1583  0.1583   13.23      NE  0.076
hc-text-7__rrect-md__rest                calibration native  0.7422  0.1799  0.1657  0.1749  0.1720  0.1775  0.2183  0.1992  0.1814  0.1191  0.0841  0.0828  0.0839  0.1039  0.1221  0.1441  0.1100    2.64     ESE  0.379
hc-text-7__rrect-md__rest                calibration web     0.7605  0.1475  0.0478  0.0201  0.1077  0.1211  0.1329  0.1451  0.1026  0.1288  0.0662  0.0414  0.0453  0.0527  0.0756  0.1122  0.0360    7.32       N  0.137
