== apple-macos-26.5-1x-dark-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
hc-text__rrect-lg__rest                  calibration native  0.0804  0.1663  0.8181  0.7888  0.7882  0.7666  0.7462  0.7128  0.7083  0.7034  0.7060  0.2720  0.4190  0.4754  0.4919  0.3888  0.8161    4.92     NNE  0.203
hc-text__rrect-lg__rest                  calibration web     0.0716  0.1200  0.8597  0.8530  0.8427  0.8256  0.8176  0.8020  0.7937  0.7700  0.7607  0.3000  0.4424  0.5001  0.5047  0.4182  0.8422    7.17     NNE  0.140
light-solid__rrect-sm__rest              calibration native  0.9666  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334    1.04     NNE  0.962
light-solid__rrect-sm__rest              calibration web     0.1623  0.7121  0.7096  0.7058  0.7039  0.6977  0.6957  0.6957  0.6876  0.6876  0.6876  0.6957  0.6957  0.6973  0.7039  0.7058  0.7096    1.04       N  0.966
light-solid__rrect-lg__rest              calibration native  0.1052  0.6903  0.6955  0.6716  0.6690  0.6501  0.6318  0.6040  0.5991  0.5983  0.5989  0.6021  0.6318  0.6434  0.6689  0.6737  0.6957    1.16     NNW  0.860
light-solid__rrect-lg__rest              calibration web     0.1026  0.7234  0.7264  0.7190  0.7099  0.6924  0.6843  0.6681  0.6624  0.6606  0.6621  0.6681  0.6841  0.6861  0.7098  0.7190  0.7265    1.10     NNW  0.909
dark-solid__rrect-sm__rest               calibration native  0.0110  0.0198  0.0042  0.0016  0.0037  0.0192  0.0206  0.0222  0.0218  0.0198  0.0039  0.0014  0.0036  0.0192  0.0208  0.0225  0.0222   15.59      NW  0.064
dark-solid__rrect-sm__rest               calibration web     0.0117  0.0169  0.0104  0.0038  0.0096  0.0171  0.0176  0.0199  0.0187  0.0169  0.0104  0.0038  0.0096  0.0171  0.0176  0.0199  0.0187    5.26      SE  0.190
dark-solid__rrect-lg__rest               calibration native  0.0110  0.0188  0.0024  0.0009  0.0031  0.0181  0.0214  0.0201  0.0208  0.0188  0.0021  0.0006  0.0029  0.0181  0.0213  0.0217  0.0218   34.25     NNW  0.029
dark-solid__rrect-lg__rest               calibration web     0.0130  0.0246  0.0123  0.0032  0.0125  0.0241  0.0281  0.0289  0.0272  0.0247  0.0119  0.0030  0.0123  0.0241  0.0276  0.0301  0.0285   10.14      NW  0.099
