== apple-macos-26.5-2x-dark-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
hc-text-7__rrect-md__rest                calibration native  0.0581  0.8663  0.3083  0.7054  0.7021  0.6999  0.8287  0.5812  0.7317  0.7834  0.7053  0.4944  0.5166  0.4942  0.5308  0.7109  0.3621    2.81       N  0.356
hc-text-7__rrect-md__rest                calibration web     0.0695  0.8614  0.2759  0.1256  0.1232  0.0734  0.0932  0.1291  0.0816  0.0732  0.1505  0.1698  0.4616  0.4807  0.5331  0.7219  0.3183   11.77       N  0.085
hc-text-7__rrect-lg__rest                calibration native  0.0801  0.4267  0.8192  0.8043  0.7877  0.7602  0.7469  0.7233  0.7074  0.6618  0.4511  0.4232  0.5219  0.4641  0.5441  0.5139  0.7336    1.94     NNE  0.517
hc-text-7__rrect-lg__rest                calibration web     0.0743  0.3680  0.6744  0.2583  0.1936  0.0846  0.1138  0.1418  0.1134  0.0539  0.0844  0.1419  0.4359  0.4704  0.5562  0.5314  0.7667   14.22     NNW  0.070
hc-text-28__rrect-sm__rest               calibration native  0.0974  0.8849  0.8849  0.8782  0.8761  0.3545  0.8673  0.8656  0.8586  0.8586  0.8586  0.8657  0.8673  0.3609  0.8761  0.8782  0.8849    2.50       N  0.401
hc-text-28__rrect-sm__rest               calibration web     0.1016  0.8807  0.8130  0.2703  0.1865  0.0850  0.0886  0.1064  0.0901  0.1580  0.1949  0.2616  0.8054  0.3696  0.8807  0.8807  0.8807   10.36       N  0.096
hc-text-28__rrect-md__rest               calibration native  0.0558  0.8703  0.8763  0.8706  0.8600  0.7048  0.8316  0.8190  0.8075  0.3537  0.7959  0.8040  0.8186  0.4371  0.4868  0.8667  0.8743    2.48     NNE  0.404
hc-text-28__rrect-md__rest               calibration web     0.0702  0.8607  0.7221  0.2520  0.1806  0.0712  0.0862  0.1425  0.0999  0.0550  0.0877  0.2172  0.6665  0.4144  0.4681  0.8685  0.8706   15.81     NNW  0.063
hc-text-28__rrect-lg__rest               calibration native  0.0830  0.8061  0.8159  0.8014  0.7848  0.7573  0.7440  0.7204  0.7050  0.2478  0.1798  0.7177  0.3457  0.4859  0.1813  0.8009  0.8146    4.54     NNE  0.220
hc-text-28__rrect-lg__rest               calibration web     0.0759  0.8389  0.6761  0.2525  0.1878  0.0799  0.1088  0.1364  0.1084  0.0066  0.0136  0.2011  0.2228  0.4861  0.1252  0.8477  0.8542  130.23     NNW  0.008
hc-text__rrect-sm__rest                  calibration native  0.1202  0.8620  0.6257  0.0182  0.1193  0.6059  0.6718  0.0750  0.0990  0.1674  0.0216  0.0210  0.6694  0.6055  0.2090  0.1100  0.6245   47.40       N  0.021
hc-text__rrect-sm__rest                  calibration web     0.1188  0.8635  0.6286  0.0219  0.0293  0.0789  0.0141  0.0052 -0.0073  0.0260  0.0100  0.0346  0.6105  0.6086  0.1530  0.0259  0.5950     inf       N -0.008
hc-text__rrect-lg__rest                  calibration native  0.0796  0.2014  0.8194  0.8048  0.7882  0.7605  0.7474  0.7238  0.7084  0.6825  0.7066  0.3008  0.4297  0.4829  0.5270  0.4388  0.8180    4.07     NNE  0.246
hc-text__rrect-lg__rest                  calibration web     0.0744  0.1420  0.6744  0.2542  0.1909  0.0841  0.1124  0.1400  0.1121  0.0842  0.1773  0.1390  0.3034  0.4836  0.5322  0.4376  0.8529   10.14     NNW  0.099
light-solid__rrect-sm__rest              calibration native  0.9666  0.0334  0.0331  0.0327  0.0331  0.0334  0.0334  0.0327  0.0331  0.0334  0.0327  0.0309  0.0327  0.0334  0.0332  0.0329  0.0332    1.08       N  0.924
light-solid__rrect-sm__rest              calibration web     0.1724  0.7020  0.6467  0.2235  0.1618  0.1264  0.0310  0.0426  0.0310  0.1366  0.1597  0.2135  0.6407  0.6971  0.7020  0.7020  0.7020   22.65       N  0.044
light-solid__rrect-lg__rest              calibration native  0.1052  0.6968  0.6952  0.6834  0.6686  0.6448  0.6323  0.6114  0.5993  0.5980  0.5993  0.6115  0.6323  0.6441  0.6685  0.6834  0.6951    1.17       N  0.858
light-solid__rrect-lg__rest              calibration web     0.1051  0.7151  0.5779  0.2313  0.1689  0.0684  0.0774  0.1036  0.0765  0.0712  0.1690  0.2304  0.5426  0.6918  0.7142  0.7226  0.7286   10.65     NNW  0.094
dark-solid__rrect-sm__rest               calibration native  0.0110  0.0265  0.0055  0.0014  0.0054  0.0248  0.0333  0.0327  0.0329  0.0266  0.0054  0.0014  0.0054  0.0249  0.0336  0.0325  0.0336   24.28     NNW  0.041
dark-solid__rrect-sm__rest               calibration web     0.0117  0.0036  0.0036  0.0036  0.0030  0.0031  0.0000  0.0000  0.0000  0.0034  0.0030  0.0036  0.0036  0.0036  0.0036  0.0036  0.0036     inf     NNE  0.000
dark-solid__rrect-lg__rest               calibration native  0.0110  0.0256  0.0033  0.0009  0.0043  0.0244  0.0332  0.0338  0.0336  0.0256  0.0033  0.0009  0.0043  0.0244  0.0332  0.0339  0.0336   36.56      NW  0.027
dark-solid__rrect-lg__rest               calibration web     0.0130  0.0055  0.0055  0.0055  0.0043  0.0050  0.0000 -0.0000  0.0000  0.0053  0.0043  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055     inf      NW -0.000
mid-dark-solid__rrect-sm__rest           calibration native  0.0284  0.0535  0.0294  0.0294  0.0294  0.0528  0.0706  0.0730  0.0703  0.0535  0.0294  0.0294  0.0294  0.0531  0.0716  0.0725  0.0715    2.48      SE  0.403
